labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A.Un syst&egrave;me ouvert peut &eacute;changer &eacute;nergie et mati&egrave;re avec le milieu ext&eacute;rieur|11 Concernant les propri&eacute;t&eacute;s d'un syst&egrave;me:|UE3S110111|VRAI|||||||segmo
B.Un syst&egrave;me ferm&eacute; peut n'&eacute;changer que de la mati&egrave;re|11 Concernant les propri&eacute;t&eacute;s d'un syst&egrave;me:|UE3S110111|FAUX|B: que de l'&eacute;nergie||||||segmo
C.Un syst&egrave;me sera dit isol&eacute; si il y a aucun &eacute;change avec le milieu ext&eacute;rieur|11 Concernant les propri&eacute;t&eacute;s d'un syst&egrave;me:|UE3S110111|VRAI|||||||segmo
D. Les &ecirc;tres vivants sont des syst&egrave;mes isol&eacute;s|11 Concernant les propri&eacute;t&eacute;s d'un syst&egrave;me:|UE3S110111|FAUX|D: ouvert||||||segmo
E. Une bouteille thermos est consid&eacute;r&eacute; comme un syst&egrave;me ferm&eacute;|11 Concernant les propri&eacute;t&eacute;s d'un syst&egrave;me:|UE3S110111|FAUX|E: isol&eacute;||||||segmo
A.un m&eacute;lange gazeux constitue une phase|14|UE3S110114|VRAI|||||||segmo
B.une solution homog&egrave;ne contenant plusieurs corps dissout forme une phase|14|UE3S110114|VRAI|||||||segmo
C.un syst&egrave;me compos&eacute; de 2 liquides non miscibles repr&eacute;sente une phase|14|UE3S110114|FAUX|C : 2 liquides non miscibles = 2 phases||||||segmo
D. une solution satur&eacute;e contient 2 phases : solvant + solut&eacute;|14|UE3S110114|VRAI|||||||segmo
E. 2 solides dans un m&ecirc;me syst&egrave;me repr&eacute;sentent 2 phases.|14|UE3S110114|VRAI|||||||segmo
A.un gaz est un ensemble d'atomes ou de mol&eacute;cules fortement li&eacute;s, tr&egrave;s d&eacute;pendant.|15 Concernant les gaz :|UE3S110115|FAUX|A : un gaz est un ensemble d'atomes ou de mol&eacute;cules FAIBLEMENT li&eacute;s, PEU d&eacute;pendant.||||||segmo
B.Un gaz tend &agrave; occuper tout l'espace disponible.|15 Concernant les gaz :|UE3S110115|VRAI|||||||segmo
C.A basse pression un gaz r&eacute;el a des propri&eacute;t&eacute;s semblables a ceux des gaz parfaits.|15 Concernant les gaz :|UE3S110115|VRAI|||||||segmo
D. Le passage de l'&eacute;tat gazeux a liquide est appel&eacute; vaporisation.|15 Concernant les gaz :|UE3S110115|FAUX|D : Le passage de l'&eacute;tat gazeux a liquide est appel&eacute; liqu&eacute;faction||||||segmo
E. Le passage de l'&eacute;tat solide &agrave; gazeux est appel&eacute; sublimation.|15 Concernant les gaz :|UE3S110115|VRAI|||||||segmo
A.sous cette forme la mati&egrave;re est facilement compressible.|16 Concernant les liquides|UE3S110116|FAUX|A : les liquides ne sont pas (ou tr&egrave;s peu) compressible, du coup s'ils sont soumis a une pression leur volume ne changera pas (ou tr&egrave;s peu !)||||||segmo
B.Les mol&eacute;cules sont plus fortement li&eacute;es que dans un gaz.|16 Concernant les liquides|UE3S110116|VRAI|||||||segmo
C.La surface libre d'un liquide est plane et horizontale.|16 Concernant les liquides|UE3S110116|VRAI|||||||segmo
D. Le liquide poss&egrave;de un volume qui peut varier (m&ecirc;me fortement) sous l'effet de la pression.|16 Concernant les liquides|UE3S110116|FAUX|D : les liquides ne sont pas (ou tr&egrave;s peu) compressible, du coup s'ils sont soumis a une pression leur volume ne changera pas (ou tr&egrave;s peu !)||||||segmo
E. Un liquide peut &ecirc;tre caract&eacute;ris&eacute; par sa viscosit&eacute;.|16 Concernant les liquides|UE3S110116|VRAI|||||||segmo
A.l'&eacute;tat solide est un &eacute;tat de la mati&egrave;re caract&eacute;ris&eacute; par l'absence de libert&eacute; entre les mol&eacute;cules ou les ions.|17 Concernant les solides :|UE3S110117|VRAI|||||||segmo
B.Les solides ont une compressibilit&eacute; et une dilatation importante.|17 Concernant les solides :|UE3S110117|FAUX|||||||segmo
C.le solide a une forme propre.|17 Concernant les solides :|UE3S110117|VRAI|||||||segmo
D. le solide a un volume propre.|17 Concernant les solides :|UE3S110117|VRAI|||||||segmo
E. le passage de l'&eacute;tat solide &agrave; liquide s'appelle la sublimation.|17 Concernant les solides :|UE3S110117|FAUX|E : c'est la FUSION||||||segmo
A. m&egrave;tre|1) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; une (des) unit&eacute;(s) fondamentale(s):|UE3S100101|VRAI|||||||segmo
B. Amp&egrave;re|1) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; une (des) unit&eacute;(s) fondamentale(s):|UE3S100101|VRAI|||||||segmo
C. degr&eacute; Celsius|1) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; une (des) unit&eacute;(s) fondamentale(s):|UE3S100101|FAUX|Kelvin pour la temp&eacute;rature||||||segmo
D. m&egrave;tre cube|1) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; une (des) unit&eacute;(s) fondamentale(s):|UE3S100101|FAUX|||||||segmo
E. litre|1) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; une (des) unit&eacute;(s) fondamentale(s):|UE3S100101|FAUX|||||||segmo
A. M.L.T-1|2) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une pression?|UE3S100102|FAUX|F/S<br>M.L-1.T-2||||||segmo
B. M.L-1.T-1|2) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une pression?|UE3S100102|FAUX|M.L-1.T-2||||||segmo
C. M.L.T-2|2) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une pression?|UE3S100102|FAUX|M.L-1.T-2||||||segmo
D. M.L-1.T-2|2) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une pression?|UE3S100102|VRAI|||||||segmo
E. M.L-2.T-2|2) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une pression?|UE3S100102|FAUX|M.L-1.T-2||||||segmo
A. Pico- &eacute;quivaut &agrave; 10^-9.|3) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100103|FAUX|10^-12||||||segmo
B. 10^9 &eacute;quivaut &agrave; giga-.|3) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100103|VRAI|||||||segmo
C. 10^-2 &eacute;quivaut &agrave; hecto-.|3) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100103|FAUX|10^2||||||segmo
D. 10^-18 &eacute;quivaut &agrave; femto-.|3) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100103|FAUX|||||||segmo
E. Un t&eacute;ragramme &eacute;quivaut &agrave; 10^3 gigagrammes.|3) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100103|VRAI|||||||segmo
A. M.L-2.T-2|4) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une puissance ?|UE3S100104|FAUX|M.L2.T-3||||||segmo
B. M.L3.T-3|4) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une puissance ?|UE3S100104|FAUX|Puissance = Force*vitesse = masse*acc&eacute;l&eacute;ration (L.T-2) *longueur*temps-1 = M.L2.T-3||||||segmo
C. M.L2.T-3|4) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une puissance ?|UE3S100104|VRAI|||||||segmo
E. M-1.L-2.T-2|4) Pami les propositions suivantes, quelle est celle qui correspond &agrave; l'&eacute;quation aux dimensions d'une puissance ?|UE3S100104|FAUX|M.L2.T-3||||||segmo
A. Le changement de phase de solide &agrave; gazeux s'appelle la sublimation|5) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100105|VRAI|||||||segmo
B. Le passage de liquide &agrave; solide s'appelle la fusion|5) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100105|FAUX|||||||segmo
C. le passage de gaz &agrave; liquide s'appelle la liqu&eacute;faction|5) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100105|VRAI|||||||segmo
D. Le passage de liquide &agrave; gazeux s'appelle la vaporisation|5) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100105|VRAI|||||||segmo
E. le passage de l'&eacute;tat gazeux &agrave; l'&eacute;tat solide s'appelle la condensation|5) Parmi les propositions suivantes, la ou lequelles est (sont) exacte(s)?|UE3S100105|VRAI|||||||segmo
A. Une solution homog&egrave;ne contient une seule phase|6)|UE3S100106|VRAI|||||||segmo
B. Un m&eacute;lange gazeux est constitu&eacute; de deux phases|6)|UE3S100106|FAUX|||||||segmo
C. une solution satur&eacute;e contient une seule phase|6)|UE3S100106|FAUX|||||||segmo
D. Un changement de phase se fait &agrave; pression et temp&eacute;rature constante|6)|UE3S100106|VRAI|||||||segmo
7) Soit la r&eacute;action 02(g)+2H2(g)&lt;=&gt; 2H20(l) &agrave; temp&eacute;rature fix&eacute;e, la variance de ce syst&egrave;me vaut :||UE3S100107||V=n-r-p+k-phase<br>V = 3-1-0+1-2 = 1||||||segmo
A. On peut d&eacute;terminer une relation entre la pression (P) et la temp&eacute;rature telle que P=f(T)|8) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; un &eacute;quilibre entre trois phases d'un corps pur?|UE3S100108|VRAI|||||||segmo
B. La courbe d'&eacute;quilibre entre la pression et la temp&eacute;rature se r&eacute;duit &agrave; un point|8) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; un &eacute;quilibre entre trois phases d'un corps pur?|UE3S100108|VRAI|||||||segmo
C. Il existe un couple unique de valeurs, P et T, pour lequel les trois sont simultanement presentes|8) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; un &eacute;quilibre entre trois phases d'un corps pur?|UE3S100108|VRAI|||||||segmo
D. L'&eacute;quilibre est caract&eacute;ris&eacute; par un point triple|8) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; un &eacute;quilibre entre trois phases d'un corps pur?|UE3S100108|VRAI|||||||segmo
E. À cet &eacute;quilibre, la variance est nulle|8) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) &agrave; un &eacute;quilibre entre trois phases d'un corps pur?|UE3S100108|VRAI|||||||segmo
A. Elles se comportent comme des gaz parfaits aux faibles pressions|9) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) aux vapeurs saturantes'?|UE3S100109|VRAI|||||||segmo
B. Leur pression ne depend que de la nature du corps dont elles sont issues et de la temp&eacute;rature|9) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) aux vapeurs saturantes'?|UE3S100109|VRAI|||||||segmo
C. pour un m&ecirc;me corps pur, leur pression augmente avec la temp&eacute;rature jusqu'au point critique|9) Parmi les propositions suivantes, quelle est ou quelles sont celle(s) qui correspond(ent) aux vapeurs saturantes'?|UE3S100109|VRAI|||||||segmo
