labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Le magn&eacute;tisme est d&eacute;finit comme une manifestation de forces attractives ou r&eacute;pulsives d'un objet sur un autre dans un champ magn&eacute;tique.|1. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T140601|VRAI|||||Capron||
B. Tout objet magn&eacute;tisable est susceptible de r&eacute;agir &agrave; un champ magn&eacute;tique.|1. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T140601|VRAI|||||Capron||
C. Cette r&eacute;action est caract&eacute;ris&eacute;e par un changement d'orientation seulement.|1. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T140601|FAUX|C. Faux, la r&eacute;action d'un objet magn&eacute;tisable &agrave; un champ &eacute;lectrique peut &ecirc;tre un changement d'orientation ou un d&eacute;placement (ou les deux)||||Capron||
D. Deux p&ocirc;les magn&eacute;tiques de m&ecirc;me nature s'attirent.|1. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T140601|FAUX|D. Faux, deux p&ocirc;les de m&ecirc;me nature se repoussent tandis que deux p&ocirc;les de nature diff&eacute;rente s'attirent||||Capron||
E. Deux p&ocirc;les magn&eacute;tiques de nature diff&eacute;rente s'attirent.|1. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T140601|VRAI|E. Vrai, deux p&ocirc;les de m&ecirc;me nature se repoussent tandis que deux p&ocirc;les de nature diff&eacute;rente s'attirent||||Capron||
A. La perm&eacute;abilit&eacute; magn&eacute;tique est la facult&eacute; d'un mat&eacute;riau &agrave; modifier un champ magn&eacute;tique B.|2. Concernant le ph&eacute;nom&egrave;ne d'aimantation, indiquez la ou les proposition(s) exacte(s) :|UE3T140602|VRAI|||||Capron||
B. Classiquement, le symbole de la perm&eacute;abilit&eacute; magn&eacute;tique est μ.|2. Concernant le ph&eacute;nom&egrave;ne d'aimantation, indiquez la ou les proposition(s) exacte(s) :|UE3T140602|VRAI|||||Capron||
C. B = μH, o&ugrave; B est l'excitation magn&eacute;tique et H le champ total.|2. Concernant le ph&eacute;nom&egrave;ne d'aimantation, indiquez la ou les proposition(s) exacte(s) :|UE3T140602|FAUX|C. Faux, H correspond au champ initial (ou excitation magn&eacute;tique) et B au champ total||||Capron||
D. La susceptibilit&eacute; magn&eacute;tique est la facult&eacute; d'un mat&eacute;riau &agrave; s'aimanter sous l'action d'une excitation magn&eacute;tique.|2. Concernant le ph&eacute;nom&egrave;ne d'aimantation, indiquez la ou les proposition(s) exacte(s) :|UE3T140602|VRAI|D. Vrai, en pr&eacute;sence d'une excitation magn&eacute;tique H, le mat&eacute;riau va s'aimanter de fa&ccedil;on proportionnelle &agrave; l'aimantation. Le coefficient de proportionnalit&eacute; est la susceptibilit&eacute; magn&eacute;tique Xm. D'o&ugrave;, M (aimantation)= Xm H||||Capron||
E. La susceptibilit&eacute; magn&eacute;tique se manifeste uniquement par l'aimantation du mat&eacute;riau.|2. Concernant le ph&eacute;nom&egrave;ne d'aimantation, indiquez la ou les proposition(s) exacte(s) :|UE3T140602|FAUX|E. Faux, elle se manifeste &eacute;galement par l'apparition d'une force m&eacute;canique||||Capron||
A. L'argent, le cuivre, l'or et l'aluminium sont des mat&eacute;riaux diamagn&eacute;tiques.|3. Concernant le magn&eacute;tisme dans la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T140603|FAUX|A. Faux, l'aluminium est paramagn&eacute;tique (les autres sont bien diamagn&eacute;tiques)||||Capron||
B. Le magn&eacute;sium, le platine et le cuivre sont paramagn&eacute;tiques.|3. Concernant le magn&eacute;tisme dans la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T140603|FAUX|B. Faux le cuivre est diamagn&eacute;tique (les autres sont bien paramagn&eacute;tiques)||||Capron||
C. Le fer, le cobalt et le nickel sont ferromagn&eacute;tiques.|3. Concernant le magn&eacute;tisme dans la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T140603|VRAI|||||Capron||
D. Selon Faraday, toute substance est aimantable.|3. Concernant le magn&eacute;tisme dans la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T140603|VRAI|||||Capron||
E. Des alliages d'&eacute;l&eacute;ments non ferromagn&eacute;tiques peuvent donner un mat&eacute;riau ferromagn&eacute;tique (alliage d'Heussler par exemple).|3. Concernant le magn&eacute;tisme dans la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T140603|VRAI|||||Capron||
A. Les mat&eacute;riaux diamagn&eacute;tiques sont des mat&eacute;riaux s'aimantant faiblement, dans le sens oppos&eacute; du champ magn&eacute;tique impos&eacute;.|4. Concernant le diamagn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T140604|VRAI|A. Vrai ,sous l'effet d'un champ magn&eacute;tique, l'&eacute;lectron voit sa trajectoire modifier : il subit un ph&eacute;nom&egrave;ne d'induction, c'est- &agrave;-dire qu'un moment magn&eacute;tique est cr&eacute;&eacute;. Le mat&eacute;riau poss&egrave;de alors un moment magn&eacute;tique proportionnel au champ appliqu&eacute; mais de sens contraire !||||Capron||
B. Cette aimantation persiste lors de la suppression du champ magn&eacute;tique.|4. Concernant le diamagn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T140604|FAUX|B. Faux, cette aimantation dispara&icirc;t d&egrave;s la suppression du champ magn&eacute;tique||||Capron||
C. La susceptibilit&eacute; magn&eacute;tique d'un mat&eacute;riau diamagn&eacute;tique est n&eacute;gative.|4. Concernant le diamagn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T140604|VRAI|C. Vrai, puisqu'un mat&eacute;riau diamagn&eacute;tique s'aimante faiblement (la susceptibilit&eacute; magn&eacute;tique est donc proche de 0) !||||Capron||
D. La susceptibilit&eacute; magn&eacute;tique d'un mat&eacute;riau diamagn&eacute;tique varie avec la temp&eacute;rature.|4. Concernant le diamagn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T140604|FAUX|D. Faux, la susceptibilit&eacute; du diamagn&eacute;tisme reste constante ! Cet item aurait &eacute;t&eacute; vrai pour le paramagn&eacute;tisme : la susceptibilit&eacute; magn&eacute;tique d'un mat&eacute;riau paramagn&eacute;tique diminue lorsque la temp&eacute;rature augmente (il s'aimante donc moins facilement quand la temp&eacute;rature est haute)||||Capron||
E. Un mat&eacute;riau diamagn&eacute;tique parfait est un supra-conducteur.|4. Concernant le diamagn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T140604|VRAI|E. Vrai, les diamagn&eacute;tiques parfaits, sous l'effet d'un champ magn&eacute;tique ext&eacute;rieur, cr&eacute;ent des super-courants (caract&eacute;ris&eacute;s par une absence de r&eacute;sistance) qui s'opposent et compensent le champ ext&eacute;rieur initial||||Capron||
A. Un mat&eacute;riau ferromagn&eacute;tique peut s'aimanter tr&egrave;s fortement sous l'effet d'un champ magn&eacute;tique ext&eacute;rieur.|5. Concernant le ferromagn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T140605|VRAI|||||Capron||
