A) INSEE base ses travaux uniquement sur des données exhaustives	1) Concernant les sources de données démographiques:	UE7S110201	FAUX	A) Elle peut faire des enquêtes ad hoc (=données non exhaustives)						segmo
B) Le recensement est une enquête transversale, exhaustive.	1) Concernant les sources de données démographiques:	UE7S110201	VRAI	"<span style=""font-family: Arial"">enquêtes transversale exhaustive réalisé depuis 1801 par l'INSEE sur des données statiques détaillées (pas que le dénombrement). Discontinu depuis 2004 sur un principe de zones tournantes, on aura donc un recueil exhaustif tous les 5 ans. Pb rencontrés : échantillon, effectif, biais</span>"						segmo
C) L'Etat Civil recense des données exhaustives, longitudinales et périodiques	1) Concernant les sources de données démographiques:	UE7S110201	FAUX	C) Il recense des données permanentes						segmo
D) Les enquêtes ad hoc se basent toujours sur des échantillons représentatif	1) Concernant les sources de données démographiques:	UE7S110201	FAUX	D) Pour qu'un échantillon soit représentatif, il faut qu'il soit : de grande taille tiré au sort. Or, une enquête peut justifier l'utilisation d'un échantillon dont les personnes ont été spécialement sélectionnées (pour leur âge...)						segmo
E) Prévalence = donnée dynamique = longitudinale	1) Concernant les sources de données démographiques:	UE7S110201	FAUX	E) Prévalence = donnée statique = transversale						segmo
A) La population des 75 ans et plus a augmenté de 9% en 10 ans	2) Concernant la démographie française:	UE7S110202	FAUX	A) augmentation de 30%						segmo
B) La pyramide des âges présente une asymétrie de sa base au sommet	2) Concernant la démographie française:	UE7S110202	FAUX	B) elle est symétrique à sa base						segmo
C) En moyenne, une femme vit 7 ans de plus qu'un homme	2) Concernant la démographie française:	UE7S110202	VRAI							segmo
D) Le vieillissement démographique a eu pour conséquence la transition démographique	2) Concernant la démographie française:	UE7S110202	FAUX	D) c'est l'inverse						segmo
E) Les 20-59 ans représentent 60% de la population française	2) Concernant la démographie française:	UE7S110202	VRAI							segmo
A) employés < professions intermédiaires < cadres < retraités	3) Classez dans l'ordre croissant la ou les proportion(s) des catégories socio-professionnelles suivantes	UE7S110203	FAUX							segmo
B) artisans commerçants < cadres < professions intermédiaires<chômeurs	3) Classez dans l'ordre croissant la ou les proportion(s) des catégories socio-professionnelles suivantes	UE7S110203	VRAI							segmo
C) agriculteurs < ouvriers < employés < retraités	3) Classez dans l'ordre croissant la ou les proportion(s) des catégories socio-professionnelles suivantes	UE7S110203	VRAI							segmo
D) cadres < artisans commerçants < employés < retraités	3) Classez dans l'ordre croissant la ou les proportion(s) des catégories socio-professionnelles suivantes	UE7S110203	FAUX							segmo
E) agriculteurs < artisans commerçants < professions intermédiaires < cadres	3) Classez dans l'ordre croissant la ou les proportion(s) des catégories socio-professionnelles suivantes	UE7S110203	FAUX							segmo
A) Une personne immigrée n'est pas forcément étrangère	4) Concernant les étrangers/immigrés et les pathologies:	UE7S110204	VRAI	elle peut acquérir la nationalité						segmo
B) Un étranger est une personne qui n'a pas la nationalité du pays dans lequel elle réside	4) Concernant les étrangers/immigrés et les pathologies:	UE7S110204	VRAI							segmo
C) Si Camille décide d'aller au Kenya et contracte le paludisme, c'est une pathologie d'importation	4) Concernant les étrangers/immigrés et les pathologies:	UE7S110204	FAUX	C) = acquisition						segmo
D) Si Estelle s'en va vivre au milieu des aborigènes et qu'elle tombe malade parce qu'elle a mangé des insectes gros comme des tanks, c'est une pathologie d'adaptation	4) Concernant les étrangers/immigrés et les pathologies:	UE7S110204	VRAI							segmo
E) Les pathologies d'acquisition sont définies comme étant la somme des pathologies d'importation et d'adaptation	4) Concernant les étrangers/immigrés et les pathologies:	UE7S110204	FAUX							segmo
A) Le taux de natalité est de 828 000 naissances en 2010 en France	5) Concernant les données démographiques:	UE7S110205	FAUX	A) il s'agit du nombre de naissance et non du taux						segmo
B) Actuellement, le seuil de renouvellement des générations est atteint	5) Concernant les données démographiques:	UE7S110205	FAUX	B) il n'est pas atteint actuellement ( = 2,1)						segmo
C) Le taux de fécondité correspond au nombre moyen d'enfant par femme	5) Concernant les données démographiques:	UE7S110205	FAUX	C) par femme en âge de procréer! (15-49 ans)						segmo
D) Indice synthétique de fécondité = indice conjoncturel de fécondité	5) Concernant les données démographiques:	UE7S110205	VRAI							segmo
E) Le solde naturel en 2010 en France est de 500 000	5) Concernant les données démographiques:	UE7S110205	FAUX	E) il est de 300 000						segmo
A) Il existe 3 grands types d'épidémiologie : analytique, étiologique et descriptive	6) Concernant l'épidémiologie:	UE7S110206	FAUX	A) les 3 grands types sont descriptive, analytique et évaluative						segmo
B) L'épidémiologie descriptive est la recherche des déterminants et facteurs de risque	6) Concernant l'épidémiologie:	UE7S110206	FAUX	B) il s'agit de l'épidémiologie analytique						segmo
C) Les enquêtes transversales permettent d'étudier la prévalence d'une maladie	6) Concernant l'épidémiologie:	UE7S110206	VRAI							segmo
D) L'enquête baromètre santé nous renseigne sur la morbidité exprimée	6) Concernant l'épidémiologie:	UE7S110206	FAUX	"<span style=""font-family: Arial"">enquête périodique (tous les 5-6 ans) par téléphone sur la santé perçue, depuis 1992 réalisé par l'Institut National de Promotion et d'Éducation à la Santé (INPES)&nbsp;</span>"						segmo
E)&nbsp;L'enquête baromètre santé&nbsp;a été initiée par l'INSEE	6) Concernant l'épidémiologie:	UE7S110206	FAUX	E) elle a été initiée par l'INPES						segmo
A) Il y a 2 fois plus de décès liés au tabac qu'à l'alcool par an	7) Concernant les addictions:	UE7S110207	FAUX	A) 70 000 contre 45 000						segmo
B) Après votre concours, les PACES vont se retrouver dans une situation de « binge drinking »!!!	7) Concernant les addictions:	UE7S110207	VRAI							segmo
C) A court terme, la consommation excessive d'alcool a un retentissement social sur la vie de l'individu	7) Concernant les addictions:	UE7S110207	FAUX	C) à long terme						segmo
D) La consommation de tabac est particulièrement importante chez les 30-40 ans	7) Concernant les addictions:	UE7S110207	FAUX	D) 15-30 ans						segmo
E) Le sevrage d'une addiction à la drogue se fait par l'administration de substituts opiacés	7) Concernant les addictions:	UE7S110207	VRAI							segmo
A) Ils sont l'objet de la prévention primaire	8) Concernant les facteurs de risques:	UE7S110208	VRAI							segmo
B) Parmi les facteurs de risques intrinsèques, on retrouve l'âge, le sexe, la consommation de tabac et d'alcool	8) Concernant les facteurs de risques:	UE7S110208	FAUX	B) la consommation de tabac et d'alcool font partie des facteurs environnementaux						segmo
C) Il existe 2 grands facteurs de risques environnementaux	8) Concernant les facteurs de risques:	UE7S110208	FAUX	C) il y a 4 grandes familles : chimiques, physiques, biologiques et sociaux						segmo
D) La prévention permet d'agir sur la totalité des facteurs de risque	8) Concernant les facteurs de risques:	UE7S110208	FAUX	D) les facteurs de risques intrinsèques sont immodifiables						segmo
E) La morbidité objective est perçue par la personne elle-même	8) Concernant les facteurs de risques:	UE7S110208	FAUX	E) = ressentie						segmo
A) Si Tiphaine ne peut pas corriger les copies car s'est cassé le poignet cette semaine, cela constitue une déficience	9) Concernant les conséquences de la maladie:	UE7S110209	FAUX	A) il s'agit d'une incapacité, voire d'une invalidité						segmo
B) Si Camille se met à déprimer aux vues des résultats de cette colle et qu'elle est placée en arrêt maladie, cela constitue une invalidité	9) Concernant les conséquences de la maladie:	UE7S110209	VRAI							segmo
C) Si Estelle fait une overdose d'abricots secs et que cela entraine une prise de 50 kilos avec un diabète de type 2, entrainant lui-même des microangiopathies distales menant à la nécrose et à l'amputation de sa jambe, cela constitue une déficience	9) Concernant les conséquences de la maladie:	UE7S110209	VRAI	déficience : altération d'un organe ou d'une fonction physiologique du fait d'une maladie						segmo
D) Si suite à sa dépression, Camille est prise en charge par une psychiatre qui l'empêchera de se suicider, on parle de prévention secondaire	9) Concernant les conséquences de la maladie:	UE7S110209	FAUX	D) il s'agit de prévention primaire						segmo
E) Le suivi du diabète d'Estelle correspond à une prévention tertiaire	9) Concernant les conséquences de la maladie:	UE7S110209	VRAI							segmo
A) La mortalité prématurée survient avant l'âge de 60 ans	10) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110210	FAUX	A) avant 65 ans						segmo
B) La mortalité prématurée représente ? des décès	10) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110210	FAUX	B) 1/5						segmo
C) La mortalité infantile ne fait pas partie de la mortalité prématurée	10) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110210	FAUX							segmo
D) Un enfant prématuré est un enfant qui nait avant 35 semaines d'aménorrhée	10) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110210	FAUX	D) né avant 37 semaines						segmo
E) Parmi les décès prématurés, on estime qu'une partie d'entre eux étaient non évitables	10) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110210	VRAI							segmo
A) Le réseau sentinelle regroupe des médecins généralistes et spécialistes	11) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110211	FAUX	A) il y a uniquement des médecins généralistes						segmo
B) Les médecins du réseau sentinelle sont au nombre de 5 par région	11) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110211	FAUX	B)&nbsp;médecins généralistes&nbsp;entre 400 et 500						segmo
C) Les structures de l'Etat ont accès aux identités des personnes inscrites au sein des registres de morbidité	11) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110211	VRAI							segmo
D) Les cancers font partie des maladies à déclaration obligatoire	11) Parmi ces propositions, la ou lesquelles sont exactes ?	UE7S110211	FAUX							segmo
