A. La digitaline est un alcaloïde.	1. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110201	FAUX	A. Digitaline= hétéroside,				Costentin	Histoire de la découverte des médicaments	segmo
B. L'antimoine a des propriétés antiseptiques.	1. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110201	FAUX	B : c'est l'Argent				Costentin	Histoire de la découverte des médicaments	segmo
C. L'huile de petit chien est d'origine animale.	1. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110201	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
D. Les principes actifs sont extraits pour obtenir des teintures, des extraits secs et des extraits fluides.	1. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110201	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
E. L'oreillette gauche du cœur de cobaye est un muscle strié.	1. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110201	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
A. L'hémi synthèse est une stricte copie de la molécule d'origine.	2. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110202	FAUX					Costentin	Histoire de la découverte des médicaments	segmo
B. La papavérine est un alcaloïde.	2. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110202	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
C. La papavérine a des activités « spasmolytiques musculotropes ».	2. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110202	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
D. Les cultures cellulaires ont, par exemple, permis d'évaluer la production de protons dans la cellule elle-même suite à l'application de la substance à tester.	2. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110202	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
E. L'activité intrinsèque telle que alpha = 0 correspond à un antagoniste partiel.	2. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s)	UE6S110202	FAUX	E : agoníste partiel antagoniste entre 0 et 1<br>agoniste neutre alpha = 0				Costentin	Histoire de la découverte des médicaments	segmo
A. Les “dirty drugs” sont des molécules qui ont un réceptogramme large, ce qui peut engendrer des effets indésirables.	3. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ?	UE6S110203	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
B. Les molécules racémiques ont la même action pharmaceutique.	3. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ?	UE6S110203	FAUX					Costentin	Histoire de la découverte des médicaments	segmo
C. Les énantiomères D et L ne peuvent pas être commercialisé séparément.	3. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ?	UE6S110203	FAUX					Costentin	Histoire de la découverte des médicaments	segmo
D. Certains médicaments n'agissent pas dans leur forme originale.	3. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ?	UE6S110203	VRAI					Costentin	Histoire de la découverte des médicaments	segmo
