A. Les études de toxicité aigüe se font par administration réitérée de produit.	1) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110301	FAUX	A. par administration unique						segmo
B. Les études de toxicité chronique permettent de préciser l'existence d'organe(s) cible(s) entre autre.	1) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110301	VRAI							segmo
C. Les études de cancérogénicité sont obligatoires pour tout médicament à indication de longue durée.	1) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110301	VRAI							segmo
D. Les études de cancérogénicité durent six mois.	1) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110301	FAUX	D. 2 ans						segmo
E. La toxicité chronique donne des informations sur les effets cumulatifs ou retardé du médicament.	1) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110301	VRAI							segmo
A) L'indication du sildenafil proérectile pour le traitement de l'hypertension artérielle pulmonaire a été découverte grâce à une recherche originale par approche rationnelle.	2) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110302	FAUX	A. nouvelle indication d'un médicament déjà présent						segmo
B) Il est facile d'identifier des molécules spécifiques d'une cible	2) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110302	FAUX							segmo
C) Les copies thérapeutiques ont une stratégie centrée sur le progrès thérapeutique	2) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110302	FAUX	C. stratégie centrée sur la rentabilité						segmo
D) Le protéome, à l'inverse du génome, est très mal connu	2) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110302	FAUX							segmo
E) La pénicilline bloque une trans-peptidase	2) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110302	VRAI							segmo
A) La démarche intellectuelle débute par l'énoncé des caractéristiques des couples connus molécules-site actif de la cible	3) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les études de relation structure-activité réalisées alors qu'on connaît la structure de la cible ?	UE6S110303	VRAI							segmo
B) La justesse des résultats dans cette étude n'est pas essentielle	3) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les études de relation structure-activité réalisées alors qu'on connaît la structure de la cible ?	UE6S110303	FAUX							segmo
C) Elles utilisent la technique d'amarrage (de docking)	3) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les études de relation structure-activité réalisées alors qu'on connaît la structure de la cible ?	UE6S110303	VRAI							segmo
D) Elles repèrent entre autre le site actif et les interactions importantes entre la molécule et la cible connue	3) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les études de relation structure-activité réalisées alors qu'on connaît la structure de la cible ?	UE6S110303	VRAI							segmo
E) Elles cherchent à trouver le meilleur ligand à accrocher à une cible	3) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les études de relation structure-activité réalisées alors qu'on connaît la structure de la cible ?	UE6S110303	VRAI							segmo
A) Les défauts d'observance entrainent des risques d'effets indésirables par sevrage du médicament	4) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les défauts d'observance ?	UE6S110304	VRAI							segmo
B) Les défauts d'observance sont indissociables des effets du médicament	4) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les défauts d'observance ?	UE6S110304	FAUX							segmo
C) Il est impossible de hiérarchiser des ordonnances	4) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les défauts d'observance ?	UE6S110304	FAUX							segmo
D) Les défauts d'observance concernent surtout les pathologies aigues	4) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les défauts d'observance ?	UE6S110304	FAUX	D. concernent surtout les pathologies chroniques						segmo
E) Les prescriptions multiples et chevauchantes sont des facteurs favorisants les défauts d'observance.	4) Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les défauts d'observance ?	UE6S110304	VRAI							segmo
A. Les accidents médicamenteux doivent conduire à une déclaration à la Pharmacovigilance	5) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110305	VRAI							segmo
B. Environ 50% des accidents sont inévitables	5) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110305	VRAI							segmo
C. Les erreurs d'observance font partie de la iatropathogénie	5) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110305	FAUX	C. les erreurs d'observance sont exclues de la iatropathogénie						segmo
D. L'automédication est anarchique lorsqu'elle est non encadrée par le pharmacien	5) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110305	VRAI							segmo
E. L'automédication peut-être la signification d'un trouble cognitif	5) Quelle(s) est (sont) la (les) proposition(s) exacte(s) ?	UE6S110305	VRAI							segmo
A. L'Argent est présent dans les préparations placéboïdes.	6) Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ?	UE6S110306	VRAI							segmo
B. Paul Erlich est le père de l'opothérapie.	6) Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ?	UE6S110306	FAUX	B : Paul Erlich père de la chimiothérapie, Landouzy a créé le terme d'opothérapie						segmo
C. La spartéine est un anti-ulcéreux.	6) Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ?	UE6S110306	FAUX	C : spartéine=anti-arythmique						segmo
