A. La personnalité se construit de la moyenne enfance à l'âge adulte	1. Donnez la ou les réponses exactes :	UE7S110401	FAUX	A. de la vie intra-utérine à l'âge adulte						segmo
B. La personnalité est une organisation dynamique des aspects intellectuels, affectifs, comportementaux, physiologiques et morphologiques de l'individu avec son milieu	1. Donnez la ou les réponses exactes :	UE7S110401	VRAI							segmo
C. Une plainte fonctionnelle correspond à une pathologie organique dont l'expression se fait via des troubles du comportement	1. Donnez la ou les réponses exactes :	UE7S110401	FAUX	C. plainte dont l'origine n'est pas organique mais malaise dont l'expression se fait par le corps						segmo
D. Le rôle du médecin dans la prise en charge de ces patients fonctionnelle est avant tout verbal	1. Donnez la ou les réponses exactes :	UE7S110401	VRAI							segmo
E. La psychologie médicale ne doit être appliquée que par les professionnels de la discipline :. psychiatres, psychologue, psychanalystes	1. Donnez la ou les réponses exactes :	UE7S110401	FAUX	E. la psychologie médicale s'adresse à tous les corps de santé et tous les patients						segmo
A. L'introspection est une méthode qui nécessite deux protagonistes bien distincts : l'observateur et l'observé	2. Donnez la ou les réponses exactes :	UE7S110402	FAUX	A. introspection = méthode dans laquelle l'observateur et l'observé sont une seule et même personne						segmo
B. S. Freud a beaucoup étudié le conscient et la manière dont celui-ci influe sur nos actes et nos conduites	2. Donnez la ou les réponses exactes :	UE7S110402	FAUX	B. S. Freud a étudié l'inconscient						segmo
C. le registre comportemental de l'interaction mère-enfant inclus 3 composantes : corporel, visuel, et affectif	2. Donnez la ou les réponses exactes :	UE7S110402	FAUX	C. corporel, visuel, vocale						segmo
D. L'attachement primaire du bébé à sa mère permet protection et socialisation	2. Donnez la ou les réponses exactes :	UE7S110402	VRAI							segmo
E. Dans la théorie de l'esprit, la représentation complète d'une « action mentale » se fait vers 10 ans chez l'enfant	2. Donnez la ou les réponses exactes :	UE7S110402	FAUX	E. représentation complète d'une action mentale = 4 ans						segmo
A. Le langage se définit comme tout système de signe d'origine strictement humaine utilisée à des fins de communication	3. Donnez la ou les réponses exactes :	UE7S110403	FAUX	A. Système de signes d'origine humaine ou non !						segmo
B. De 12 à 16 mois, l'enfant possède déjà plus de 1000 mots et c'est le début de la grammaire	3. Donnez la ou les réponses exactes :	UE7S110403	FAUX	B. 12 à 16 moi : environ 50 mots avec un accroissement très lent du vocabulaire						segmo
C. Les « crises de la vie » correspondent à des moments clés où le processus de deuil est à l'oeuvre comme l'arrivée d'un premier enfant, départ d'un enfant, le passage d'une dizaine d'année	3. Donnez la ou les réponses exactes :	UE7S110403	VRAI							segmo
D. Toute pathologie somatique comme psychiatrique interfère avec le processus du développement de la personnalité	3. Donnez la ou les réponses exactes :	UE7S110403	VRAI							segmo
E. Entre 2 et 6 ans, l'enfant acquérit la notion de mort irréversible, de cycle de la vie	3. Donnez la ou les réponses exactes :	UE7S110403	FAUX	E. entre 2 et 6 ans = l'enfant a notion de mort et de vie mais pense que ces deux états sont réversibles						segmo
A. Le médecin spécialiste renvoie une image maternelle	4) Dans la relation médecin / malade:	UE7S110404	FAUX	A. Spécialiste: image paternelle						segmo
B. Le contre transfert est un mouvement affectif conscient chez le médecin	4) Dans la relation médecin / malade:	UE7S110404	FAUX	B. Le contre transfert est un mouvement affectif inconscient chez le médecin						segmo
C. Dans la régression, réaction psychologique face à la maladie, le malade peut être égocentrique	4) Dans la relation médecin / malade:	UE7S110404	VRAI							segmo
D.A partir de 40/45 ans, le malade est psychologiquement plus vulnérable et réagit plus mal à la maladie	4) Dans la relation médecin / malade:	UE7S110404	VRAI							segmo
E. La dépendance peut être source de bénéfices secondaires	4) Dans la relation médecin / malade:	UE7S110404	VRAI							segmo
A. Le placebo a un effet transitoire de quelques jours ou semaines	5) Parmi ces propositions, la ou lesquelles sont fausses:	UE7S110405	FAUX	vrai						segmo
B. Dans les expérimentations cliniques de nouveaux traitements le placébo est utilisé avant l'essai thérapeutique	5) Parmi ces propositions, la ou lesquelles sont fausses:	UE7S110405	FAUX	vrai						segmo
C. L'angoisse du 8ème mois correspond sur le plan cognitif au stade de la permanence de l'objet	5) Parmi ces propositions, la ou lesquelles sont fausses:	UE7S110405	FAUX	vrai						segmo
D. L'angoisse n'a aucun rôle dans l'organisation de la personnalité	5) Parmi ces propositions, la ou lesquelles sont fausses:	UE7S110405	VRAI	faux						segmo
E. On retrouve la notion de culpabilité dans la maladie chronique	5) Parmi ces propositions, la ou lesquelles sont fausses:	UE7S110405	FAUX	vrai						segmo
A) Parmi les facteurs intrinsèques influençant le recours aux soins on compte l'âge, le sexe et l'éducation	21) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110421	FAUX	A. L'éducation n'est pas un facteur intrinsèque						segmo
B) Un ratio est un pourcentage	21) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110421	FAUX	B. Un ratio est l'opposition de deux quantités						segmo
C) La définition d'une personne âgée varie selon le point de vue	21) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110421	VRAI							segmo
D) Le vieillissement démographique est un phénomène réversible	21) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110421	VRAI							segmo
E) La mortalité la plus faible est retrouvée chez les 20-30 ans	21) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110421	FAUX	E. 1-10ans						segmo
A) L'épidémiologie analytique s'intéresse à l'efficacité des actions de santé	22) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110422	FAUX	A. analytique= étude des déterminants de la santé<br>évaluative						segmo
B) La déficience est une incapacité	22) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110422	FAUX							segmo
C) Le Dépistage fait partie de la prévention primaire	22) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110422	FAUX	C. prévention secondaire						segmo
D) Pour identifier un facteur de risque on réalise une enquête cas-témoin	22) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110422	VRAI							segmo
E) Les enquêtes «baromètre santé » sont sous le contrôle de l'INPES	22) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110422	VRAI							segmo
A) L'incapacité est l'altération d'une fonction vitale	23) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110423	FAUX	A. c'est la déficience						segmo
B) Une personne atteinte d'incapacité nécessite une aide pour les gestes quotidiens	23) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110423	VRAI	B. mesurée dans la population par une enquête						segmo
C) Les personnes atteintes de déficience ne peuvent pas travailler	23) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110423	FAUX							segmo
D) La morbidité objective est celle reconnue par un professionnel de santé	23) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110423	FAUX	"<span style=""font-family: Arial"">ressentie = par le patient&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">exprimée = par le recours aux soins&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">diagnostiquée = par un professionel de santé&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">objective = mesurée au sein de la population grâce à des enquêtes</span>"						segmo
E) L'usage de drogues augmente le risque infectieux	23) Quelle(s) est (sont) la(les) réponse(s) exacte(s) :	UE7S110423	VRAI							segmo
A) Le Numerus Clausus est plus important à Rouen qu'à Nice rapporté au nombre d'étudiants	24) Quelle(s) est(sont) la(les) réponse(s) exacte(s) :	UE7S110424	VRAI							segmo
